,Country,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
0,Afghanistan,36263,1269,25198,9796,106,10,18,Eastern Mediterranean
1,Albania,4880,144,2745,1991,117,6,63,Europe
2,Algeria,27973,1163,18837,7973,616,8,749,Africa
3,Andorra,907,52,803,52,10,0,0,Europe
4,Angola,950,41,242,667,18,1,0,Africa
5,Antigua and Barbuda,86,3,65,18,4,0,5,Americas
6,Argentina,167416,3059,72575,91782,4890,120,2057,Americas
7,Armenia,37390,711,26665,10014,73,6,187,Europe
8,Australia,15303,167,9311,5825,368,6,137,Western Pacific
9,Austria,20558,713,18246,1599,86,1,37,Europe
10,Azerbaijan,30446,423,23242,6781,396,6,558,Europe
11,Bahamas,382,11,91,280,40,0,0,Americas
12,Bahrain,39482,141,36110,3231,351,1,421,Eastern Mediterranean
13,Bangladesh,226225,2965,125683,97577,2772,37,1801,South-East Asia
14,Barbados,110,7,94,9,0,0,0,Americas
15,Belarus,67251,538,60492,6221,119,4,67,Europe
16,Belgium,66428,9822,17452,39154,402,1,14,Europe
17,Belize,48,2,26,20,0,0,0,Americas
18,Benin,1770,35,1036,699,0,0,0,Africa
19,Bhutan,99,0,86,13,4,0,1,South-East Asia
20,Bolivia,71181,2647,21478,47056,1752,64,309,Americas
